Name,type,log_P,Jmag,Hmag,Kmag,fe_h_lit,fe_h,mu_distance,e_mu_distance,R,e_R,notes,ref
GH Car,DCEPS,0.7578,7.188,6.872,6.668,0.22,0.19,12.18,0.09,7416,424,c*,LIII 
GX Car,DCEP,0.8571,7.197,6.763,6.555,0.14,0.11,11.55,0.07,7791,437,c,LIII 
GZ Car,DCEPS(B),0.619,8.126,7.698,7.528,-0.07,-0.08,11.75,0.11,7681,433,c*,SZI 
HQ Car,DCEP,1.1483,10.791,10.348,10.185,-0.41,-0.1,16.18,0.07,16865,471,c,YON 
HW Car,DCEP,0.9638,7.239,6.814,6.663,0.09,0.06,12.06,0.07,7567,427,c,LIII 
IO Car,CEP,1.1337,8.649,8.133,7.94,0.13,0.1,13.82,0.08,8134,343,c,LIII 
IT Car,DCEP,0.877,6.309,5.924,5.779,0.14,0.11,10.92,0.05,7517,444,b†,LIII 
SX Car,DCEP,0.6866,7.222,6.853,6.752,0.05,0.02,11.29,0.07,7619,440,c,LIII 
UW Car,DCEP,0.728,7.356,6.947,6.76,0.09,0.06,11.36,0.07,7652,439,c,LIII 
UY Car,DCEP,0.7438,7.248,6.887,6.821,0.13,0.1,11.57,0.07,7589,436,c,LIII 
UZ Car,DCEP,0.7164,7.646,7.257,7.11,0.13,0.1,11.7,0.07,7583,434,c,LIII 
V701 Car,CEP(B),0.6117,8.321,7.799,7.568,-0.11,-0.12,11.66,0.16,7769,435,c*,SZI 
WW Car,DCEP,0.6699,7.723,7.338,7.186,0,-0.03,11.62,0.07,7551,435,c,LIII 
XX Car,DCEP,1.1963,7.176,6.745,6.566,0.2,0.17,12.72,0.05,7423,406,b,LIII 
XY Car,DCEP,1.0946,6.915,6.419,6.227,0.07,0.04,11.99,0.05,7402,429,b,LIII 
XZ Car,DCEP,1.2214,6.251,5.759,5.572,0.19,0.16,11.76,0.05,7463,433,b,LIII 
Y Car,DCEP(B),0.5611,6.802,6.573,6.477,-0.05,-0.06,10.69,0.19,7682,445,c*,SZI 
YZ Car,DCEP,1.2592,6.432,5.985,5.8,0,-0.03,12.15,0.05,7668,425,b,LIII 
AP Cas,DCEP,0.8355,8.788,8.189,7.982,0.05,0.02,12.79,0.07,10269,440,c,LIII 
AS Cas,CEP(B),0.4802,9.404,8.837,8.622,0.02,-0.01,12.25,0.15,9662,458,c*,LIII 
AW Cas,DCEP,0.6313,8.774,8.206,7.919,0.03,0,12.01,0.07,9637,445,c,LIII 
AY Cas,DCEP,0.4581,9.055,8.545,8.315,0.02,-0.01,11.9,0.07,9602,446,c,LIII 
BF Cas,DCEP,0.5599,9.568,9.032,8.84,-0.05,-0.08,12.77,0.06,10142,436,c,LIII 
BP Cas,DCEP,0.7975,7.842,7.275,7.042,0.09,0.06,11.72,0.07,9392,446,c,LIII 
BV Cas,DCEP,0.7324,9.015,8.394,8.072,0.02,-0.01,12.44,0.07,10113,445,c,LIII 
BY Cas,DCEPS,0.5083,7.637,7.199,7.035,0.12,0.09,11.61,0.12,9420,453,c*,LIII 
CD Cas,DCEP,0.8921,7.631,7.09,6.86,0.13,0.1,11.88,0.05,9216,441,a,LIII 
CF Cas,DCEP,0.688,8.59,8.126,7.9,0.02,-0.01,12.29,0.05,9579,437,a,LIII 
CG Cas,DCEP,0.64,8.903,8.299,8.109,0.09,0.06,12.26,0.07,9557,440,c,LIII 
CH Cas,DCEP,1.1786,7.331,6.686,6.385,0.17,0.23,12.25,0.05,9405,436,a,LII 
